Incident. No.,Date,Time,Process,Type,Description,Details
TEGA-INC-IS-23032021697,2021-03-23,12:00:00,Systems Administration,Product/Service Conformity,Failures,Expiry of cloud hosting subscription due to non-payment
TEGA-INC-IS-23032021765,2021-03-23,12:00:00,Systems Administration,Supplier performance,Property loss,Theft of company laptop from supplier premises - KIBS
TEGA-INC-IS-13042021101,2021-04-12,10:34:00,Management,Supplier performance,defects in supplied product,Broken Spare parts
